,App Teams + App Owners,185,1480,75,"111,000"
,Integration Team,50,400,75,"30,000"
,Dev Teams,25,200,75,"15,000"
,OT Security Team,25,200,75,"15,000"
,Legal,110,880,75,"66,000"
,Finance,20,160,75,"12,000"
,Procurement (cross-functional),30,240,75,"18,000"
,Business Key Users,50,400,75,"30,000"
,Comms + Regional IT,30,240,75,"18,000"
,Test Team + Business,25,200,75,"15,000"
,All WS Leads,35,280,75,"21,000"
,SUBTOTAL - Cross-Functional,585,4680,75,"351,000"
,,,,
--- REGIONAL TEAMS ---,,,,,
,EMEA IT Team (15 sites - hub-first; primary region),75,600,180,"108,000"
,AP IT Team (12 sites - China / India complexity),60,480,99,"47,520"
,AM IT Team (8 sites - Mexico legal entity delays),45,360,165,"59,400"
,SUBTOTAL - Regional Teams,180,1440,—,"214,920"
,,,,
--- EXECUTIVE ---,,,,,
,Executive Leadership (Bosch + NewCo),45,360,180,"64,800"
,SUBTOTAL - Executive,45,360,180,"64,800"
,,,,
====================,====================,====================,====================,====================,====================
OVERALL PROJECT TOTAL,ALL RESOURCES,3240,25920,—,"2,969,520"
====================,====================,====================,====================,====================,====================
,,,,
COST BREAKDOWN BY CATEGORY,,,,,
,Governance / PMO,,,,"453,600"
,Bosch IT Team (Seller),,,,"1,382,400"
,NewCo Battery Team (Buyer),,,,"124,800"
,External Partners,,,,"378,000"
,Cross-Functional,,,,"351,000"
,Regional Teams,,,,"214,920"
,Executive,,,,"64,800"
,TOTAL,,,,"2,969,520"
,,,,
COST BREAKDOWN BY PHASE,,,,,
,Phase 1 - Initialization (Jun-Aug 2026),,,,"148,476"
,Phase 2 - Concept (Sep-Nov 2026),,,,"385,038"
,Phase 3 - Development & Build (Dec 2026 - Jun 2027),,,,"1,306,589"
,Phase 4 - Implementation (Jul-Sep 2027),,,,"830,657"
,Phase 5 - GoLive & Closure (Oct-Dec 2027),,,,"298,760"
,TOTAL,,,,"2,969,520"
,,,,
CAPEX / ADDITIONAL COSTS (NOT INCLUDED IN LABOUR TOTAL),,,,,
,Co-location data centre lease (1 EMEA regional hub),TBC,,,Confirm at QG2
,WAN circuit installation and monthly fees (35 sites),TBC,,,Confirm at QG2; 4-6 month lead time; order at QG2
,Hardware refresh (out-of-support devices ~2500 units),TBC,,,Confirm at QG1 inventory
,Software re-licensing (~200 Battery apps),TBC,,,Confirm at QG2 post change-of-control review
,NewCo ITSM / ServiceNow licence,TBC,,,Confirm at QG2
,MSP / field support contracts (35 Battery sites),TBC,,,Confirm at QG3
,,,,
NOTES,,,,,
,1. Days = estimated labour effort from AlphaX_Project_Schedule.csv for each assigned resource group,,,,,
,2. Stand Alone model: no Bosch-integration phase; replaces Trinity Phase 6 (Stabilisation / Merger Zone exit),,,,,
,3. No JCI / seller team costs — Bosch is the seller; Bosch IT Team rows cover all seller-side delivery tasks,,,,,
,4. NewCo Battery Team covers NewCo ramp-up effort only; full NewCo IT organisation costs not included until buyer confirmed,,,,,
,5. KPMG rate at EUR 90/hr is blended methodology and PMO support rate; excludes specialist technical advisory,,,,,
,6. Migration Partner (ERP/SAP) covers shell copy execution and SIT1/SIT2 support; excludes SAP licence costs,,,,,
,7. Regional rates: EMEA EUR 180/hr | AP EUR 99/hr | AM EUR 165/hr (consistent with Trinity benchmarks),,,,,
,8. Bosch TSA residual services in Phase 5 charged as Bosch IT Ops; TSA is minimal scope versus Trinity 18-month full TSA,,,,,
,9. Total is ~34% lower than Trinity (EUR 4.51M) reflecting smaller scope: 35 vs 180 sites / 3K vs 8K users / 5 vs 6 phases,,,,,
,10. Budget baseline to be formally approved and locked at QG1 (31 Aug 2026),,,,,
