--- APPLICATION & TECHNICAL TEAMS ---,,,,,
,App Teams + Dev,40,320,75,"24,000"
,App Teams (Integration Testing),15,120,75,"9,000"
,Test Team + Business Key Users,25,200,75,"15,000"
,SUBTOTAL - Application & Technical,80,640,75,"48,000"
,,,,
--- REGIONAL INDIA TEAMS ---,,,,,
,Bangalore IT Hub (primary site),30,240,85,"20,400"
,Hyderabad IT Team (secondary site),20,160,80,"12,800"
,Pune IT Team (tertiary site),15,120,75,"9,000"
,SUBTOTAL - Regional India Teams,65,520,80,"41,600"
,,,,
--- CROSS-FUNCTIONAL / COMMS ---,,,,,
,All Workstream Leads,30,240,75,"18,000"
,Comms + Regional IT,20,160,75,"12,000"
,SUBTOTAL - Cross-Functional,50,400,75,"30,000"
,,,,
====================,====================,====================,====================,====================,====================
OVERALL PROJECT TOTAL,ALL RESOURCES,1203,9624,—,"1,048,320"
====================,====================,====================,====================,====================,====================
,,,,
COST BREAKDOWN BY CATEGORY,,,,,
,Governance / PMO,,,,"292,320"
,Bosch BD/MIL Team (Seller guidance),,,,"62,400"
,BGSW IT Team (Seller),,,,"412,000"
,JV IT Team (Buyer),,,,"46,800"
,External Partners (Legal/Finance),,,,"115,200"
,Application & Technical,,,,"48,000"
,Regional India Teams,,,,"41,600"
,Cross-Functional / Comms,,,,"30,000"
,TOTAL,,,,"1,048,320"
,,,,
COST BREAKDOWN BY PHASE,,,,,
,Phase 1 - Initialization (May-Jun 2026),,,,"78,960"
,Phase 2 - Concept (Jul-Aug 2026),,,,"156,240"
,Phase 3 - Development & Build (Sep-Oct 2026),,,,"367,440"
,Phase 4 - Testing & Cutover (Nov-Dec 2026),,,,"258,080"
,Phase 5 - GoLive & Closure (Dec 2026 - Jan 2027),,,,"187,600"
,TOTAL,,,,"1,048,320"
,,,,
CAPEX / ADDITIONAL COSTS (NOT INCLUDED IN LABOUR TOTAL),,,,,
,Cloud infrastructure (JV M365 / Azure tenant),TBC,,,Confirm at QG2
,JV Security and IAM platform licensing,TBC,,,Confirm at QG2
,India networking and connectivity upgrade (3 sites),TBC,,,Confirm at QG1; 2-3 month lead time
,Software re-licensing (~20 AI applications),TBC,,,Confirm at QG2 post change-of-control review
,Device hardware refresh (if needed; <100 devices),TBC,,,Confirm at QG1 inventory
,Training and change management (India-focused),TBC,,,Estimate 5-10% of labour budget
,Contractor backup resources - BGSW IT team (Risk Register #5),TBC,,,Est. EUR 30-50K if needed; triggered by BGSW IT headcount attrition; confirm at QG2
,India tax/compliance external counsel - JV registration (Risk Register #10),TBC,,,Est. EUR 15-25K; engage India legal counsel by May 2026; RBIN/MCA/tax filing
,India Help Desk MSP/contractor contingency (Risk Register #13),TBC,,,Est. EUR 20-40K; needed if in-house India hiring slips past Oct 2026; confirm at QG3
,,,,
NOTES,,,,,
,1. Days = estimated labour effort from Falcon_Project_Schedule.csv for each assigned resource,,,,,
,2. Combination (Carver + JV) model: BGSW is carver and TSA provider; JV is emerging buyer entity; Bosch BD/MIL guides execution,,,,,
,3. India-centric scope: 3 sites (Bangalore, Hyderabad, Pune); lower hourly rates for India teams (EUR 80-85/hr vs EUR 100+),,,,,
,4. No ERP complexity: ~20 AI applications only; simplified vs AlphaX (200 apps),,,,,
,5. Smaller footprint: ~100 users vs AlphaX 3000; <100 devices vs AlphaX 2500,,,,,
,6. TSA model simplified: BGSW provides residual TSA only (3-4 months post-GoLive); full exit by Mar 2027 vs AlphaX 12-month TSA,,,,,
,7. Bosch BD/MIL PM rate at EUR 180/hr (full-cost); BGSW and JV IT at EUR 100/80 (blended India labour cost); external partners EUR 90/hr,,,,,
,8. No migration partner costs (no ERP). Dev team effort reduced to 40 days vs AlphaX 250+ days,,,,,
,9. Total ~EUR 1.05M is ~65% lower than AlphaX (EUR 1.65M excl. CAPEX) reflecting 60% scope reduction,,,,,
,10. Budget baseline to be formally approved and locked at QG1 (30 Jun 2026),,,,,,11. Three risk-contingency CAPEX lines added from Falcon_Risk_Register.xlsx (Risks #5 / #10 / #13) — amounts TBC at respective QGs,,,,,
,12. 'App Teams (Integration Testing)' cost line aligned to schedule resource 'App Teams + Test Team' (task 65); label corrected from prior version,,,,,
